"NBa7we src","d4r55","rsqaWe","wiI7pd"
"https://lh3.googleusercontent.com/a/ACg8ocJnal9bqD-d1fNeZyUPoVwCEUVRD81O-AJBxEH1Vls8tUU-wA=w36-h36-p-rp-mo-br100","Ashlee Cutlip","4 months ago","I was in a real pickle and needed some items removed from my house quickly. I reached out to Southwest Hauling and Junk Removal and got a response almost immediately. Scheduling was fast and easy! …"
"https://lh3.googleusercontent.com/a-/ALV-UjWgl-frzRV1bugeQoWEsisgxAO_ao_Zqb6QhTc7ID-kpqWYD0kG=w36-h36-p-rp-mo-br100","Ed Smalley","3 months ago","Contacted him late morning, Chris responded and was able to gather up my junk and be completely  done in a matter of minutes by early afternoon. Very courteous and pleasant to work with. I will use him again if I have the need. I highly recommend him, got the job done exceeding my expectations."
"https://lh3.googleusercontent.com/a/ACg8ocKHNSlh-jOLoIxJQwfbLXcUvyXxaYhu49IclkJ0-9o1MBm6uQ=w36-h36-p-rp-mo-br100","Jennifer Garnier","4 months ago","I have used Southwest Hauling and Junk Removal 3 times since moving into my home. They do an amazing job. They are quick, on time, and leave my garage looking better than when they showed up! Their prices are really reasonable and they are …"
"https://lh3.googleusercontent.com/a/ACg8ocJ7EhvGeJEp6HKExN1SuHeGzzQ36-jWsWYh0rScHOjDQ_AJvQ=w36-h36-p-rp-mo-br100","Christina Haslett","2 months ago","Southwest junk removal was so responsive and got my removal booked quickly after I initially reached out. They came about 15 minutes early (with notice) which was awesome as I had a busy day and was happy to get one more thing crossed off …"
"https://lh3.googleusercontent.com/a-/ALV-UjWo10DKgjAbMXtB6Nnwv4xfGCXf7KGj48k0lAz339TXCcZG6Vo45Q=w36-h36-p-rp-mo-br100","VERONICA Pedreira","2 months ago","Chris with Southwest Hauling & Junk Removal was great! He answered my text quickly, scheduled my pick up within a day, arrived on time, and moved stuff to my daughter's and hauled some large boxes away for a reasonable price. Will call again."
"https://lh3.googleusercontent.com/a-/ALV-UjWwNNv3nSLIbFNNLjiWUsSSfRk7DiRp4zfWIGHGlNADyRs5lZGonQ=w36-h36-p-rp-mo-ba12-br100","Renfro Clan","a month ago","Chris responded quickly and provided budget friendly quote. Fast, friendly and great communication. Highly recommend and will use for future junk removal!!"
"https://lh3.googleusercontent.com/a-/ALV-UjUsKrKBh5NtIhpecFj6LwjmqIFixVY_PyO1RwCWXyrPKuAMuAo=w36-h36-p-rp-mo-br100","Marcus Vazquez","3 weeks ago","Quick and Very professional. Highly recommended if you just don’t want to get rid of things yourself."
"https://lh3.googleusercontent.com/a-/ALV-UjWnMSVpy0IwvW0qfkUJMpVDE2cd3mPfVWcu7lQ6wpboy2M2Mr0=w36-h36-p-rp-mo-ba12-br100","Sergio Sosa","4 months ago","Chris is the real deal!!!

He made this entire process so incredibly easy and stress-free. His …"
"https://lh3.googleusercontent.com/a/ACg8ocKgDDk0JMQHRyTLdyIEPmkCyK3A1I9WptYayqfrKBeORdF86Q=w36-h36-p-rp-mo-br100","Debra Maness","4 months ago","I called spoke to the owner who was very professional. They came out within a half hour and removed everything for a very reasonable price. I was so impressed and would highly recommend this company for any removal and hauling."
"https://lh3.googleusercontent.com/a/ACg8ocKsb3vj1Pof5g43Ao8PFHIvFOcPr5vrqZfDVrmhN9uHsSrTew=w36-h36-p-rp-mo-br100","Yvonne Jacquez","3 months ago","I recently hired Chris for junk hauling, and I couldn’t be more impressed with the service. From the very first interaction, he was professional, punctual, and incredibly courteous. He showed up exactly when he said he would, ready to work, …"
"https://lh3.googleusercontent.com/a-/ALV-UjWVCHsuvSnep9riNj99SQVzNxav2jE971qWeIvVHZsd7lE6bLeu3w=w36-h36-p-rp-mo-br100","Leanne Hodson","3 weeks ago","Fantastic service! Chris communicated well and got my junk hauled away within a couple of hours of my initial inquiry."
